student_id,week,day,date,status
STU0001,1,Mon,2024-12-31,Present
STU0001,1,Tue,2025-01-01,Late
STU0001,1,Wed,2025-01-02,Present
STU0001,1,Thu,2025-01-03,Present
STU0001,1,Fri,2025-01-04,Present
STU0001,2,Mon,2025-01-07,Present
STU0001,2,Tue,2025-01-08,Present
STU0001,2,Wed,2025-01-09,Present
STU0001,2,Thu,2025-01-10,Present
STU0001,2,Fri,2025-01-11,Absent
STU0001,3,Mon,2025-01-14,Late
STU0001,3,Tue,2025-01-15,Present
STU0001,3,Wed,2025-01-16,Present
STU0001,3,Thu,2025-01-17,Present
STU0001,3,Fri,2025-01-18,Present
STU0001,4,Mon,2025-01-21,Absent
STU0001,4,Tue,2025-01-22,Present
STU0001,4,Wed,2025-01-23,Present
STU0001,4,Thu,2025-01-24,Late
STU0001,4,Fri,2025-01-25,Late
STU0001,5,Mon,2025-01-28,Present
STU0001,5,Tue,2025-01-29,Present
STU0001,5,Wed,2025-01-30,Present
STU0001,5,Thu,2025-01-31,Present
STU0001,5,Fri,2025-02-01,Absent
STU0001,6,Mon,2025-02-04,Present
STU0001,6,Tue,2025-02-05,Present
STU0001,6,Wed,2025-02-06,Excused
STU0001,6,Thu,2025-02-07,Present
STU0001,6,Fri,2025-02-08,Present
STU0001,7,Mon,2025-02-11,Excused
STU0001,7,Tue,2025-02-12,Present
STU0001,7,Wed,2025-02-13,Present
STU0001,7,Thu,2025-02-14,Present
STU0001,7,Fri,2025-02-15,Present
STU0001,8,Mon,2025-02-18,Present
STU0001,8,Tue,2025-02-19,Present
STU0001,8,Wed,2025-02-20,Absent
STU0001,8,Thu,2025-02-21,Late
STU0001,8,Fri,2025-02-22,Present
STU0001,9,Mon,2025-02-25,Present
STU0001,9,Tue,2025-02-26,Present
STU0001,9,Wed,2025-02-27,Absent
STU0001,9,Thu,2025-02-28,Present
STU0001,9,Fri,2025-03-01,Absent
STU0001,10,Mon,2025-03-04,Present
STU0001,10,Tue,2025-03-05,Absent
STU0001,10,Wed,2025-03-06,Late
STU0001,10,Thu,2025-03-07,Present
STU0001,10,Fri,2025-03-08,Present
STU0001,11,Mon,2025-03-11,Present
STU0001,11,Tue,2025-03-12,Absent
STU0001,11,Wed,2025-03-13,Present
STU0001,11,Thu,2025-03-14,Present
STU0001,11,Fri,2025-03-15,Late
STU0001,12,Mon,2025-03-18,Late
STU0001,12,Tue,2025-03-19,Present
STU0001,12,Wed,2025-03-20,Absent
STU0001,12,Thu,2025-03-21,Present
STU0001,12,Fri,2025-03-22,Present
STU0002,1,Mon,2024-12-31,Absent
STU0002,1,Tue,2025-01-01,Present
STU0002,1,Wed,2025-01-02,Present
STU0002,1,Thu,2025-01-03,Absent
STU0002,1,Fri,2025-01-04,Present
STU0002,2,Mon,2025-01-07,Present
STU0002,2,Tue,2025-01-08,Present
STU0002,2,Wed,2025-01-09,Present
STU0002,2,Thu,2025-01-10,Present
STU0002,2,Fri,2025-01-11,Absent
STU0002,3,Mon,2025-01-14,Present
STU0002,3,Tue,2025-01-15,Late
STU0002,3,Wed,2025-01-16,Present
STU0002,3,Thu,2025-01-17,Absent
STU0002,3,Fri,2025-01-18,Late
STU0002,4,Mon,2025-01-21,Present
STU0002,4,Tue,2025-01-22,Present
STU0002,4,Wed,2025-01-23,Absent
STU0002,4,Thu,2025-01-24,Absent
STU0002,4,Fri,2025-01-25,Present
STU0002,5,Mon,2025-01-28,Absent
STU0002,5,Tue,2025-01-29,Present
STU0002,5,Wed,2025-01-30,Present
STU0002,5,Thu,2025-01-31,Absent
STU0002,5,Fri,2025-02-01,Present
STU0002,6,Mon,2025-02-04,Present
STU0002,6,Tue,2025-02-05,Absent
STU0002,6,Wed,2025-02-06,Present
STU0002,6,Thu,2025-02-07,Present
STU0002,6,Fri,2025-02-08,Absent
STU0002,7,Mon,2025-02-11,Present
STU0002,7,Tue,2025-02-12,Present
STU0002,7,Wed,2025-02-13,Present
STU0002,7,Thu,2025-02-14,Absent
STU0002,7,Fri,2025-02-15,Present
STU0002,8,Mon,2025-02-18,Present
STU0002,8,Tue,2025-02-19,Present
STU0002,8,Wed,2025-02-20,Excused
STU0002,8,Thu,2025-02-21,Present
STU0002,8,Fri,2025-02-22,Present
STU0002,9,Mon,2025-02-25,Present
STU0002,9,Tue,2025-02-26,Absent
STU0002,9,Wed,2025-02-27,Present
STU0002,9,Thu,2025-02-28,Excused
STU0002,9,Fri,2025-03-01,Present
STU0002,10,Mon,2025-03-04,Present
STU0002,10,Tue,2025-03-05,Present
STU0002,10,Wed,2025-03-06,Present
STU0002,10,Thu,2025-03-07,Absent
STU0002,10,Fri,2025-03-08,Late
STU0002,11,Mon,2025-03-11,Present
STU0002,11,Tue,2025-03-12,Excused
STU0002,11,Wed,2025-03-13,Present
STU0002,11,Thu,2025-03-14,Late
STU0002,11,Fri,2025-03-15,Present
STU0002,12,Mon,2025-03-18,Present
STU0002,12,Tue,2025-03-19,Excused
STU0002,12,Wed,2025-03-20,Present
STU0002,12,Thu,2025-03-21,Present
STU0002,12,Fri,2025-03-22,Present
STU0003,1,Mon,2024-12-31,Present
STU0003,1,Tue,2025-01-01,Excused
STU0003,1,Wed,2025-01-02,Present
STU0003,1,Thu,2025-01-03,Present
STU0003,1,Fri,2025-01-04,Present
STU0003,2,Mon,2025-01-07,Late
STU0003,2,Tue,2025-01-08,Present
STU0003,2,Wed,2025-01-09,Present
STU0003,2,Thu,2025-01-10,Absent
STU0003,2,Fri,2025-01-11,Present
STU0003,3,Mon,2025-01-14,Present
STU0003,3,Tue,2025-01-15,Present
STU0003,3,Wed,2025-01-16,Present
STU0003,3,Thu,2025-01-17,Present
STU0003,3,Fri,2025-01-18,Absent
STU0003,4,Mon,2025-01-21,Present
STU0003,4,Tue,2025-01-22,Present
STU0003,4,Wed,2025-01-23,Present
STU0003,4,Thu,2025-01-24,Present
STU0003,4,Fri,2025-01-25,Present
STU0003,5,Mon,2025-01-28,Present
STU0003,5,Tue,2025-01-29,Present
STU0003,5,Wed,2025-01-30,Absent
STU0003,5,Thu,2025-01-31,Present
STU0003,5,Fri,2025-02-01,Present
STU0003,6,Mon,2025-02-04,Present
STU0003,6,Tue,2025-02-05,Present
STU0003,6,Wed,2025-02-06,Absent
STU0003,6,Thu,2025-02-07,Present
STU0003,6,Fri,2025-02-08,Present
STU0003,7,Mon,2025-02-11,Absent
STU0003,7,Tue,2025-02-12,Present
STU0003,7,Wed,2025-02-13,Present
STU0003,7,Thu,2025-02-14,Present
STU0003,7,Fri,2025-02-15,Present
STU0003,8,Mon,2025-02-18,Absent
STU0003,8,Tue,2025-02-19,Present
STU0003,8,Wed,2025-02-20,Late
