student_id,target,rank,feature,shap_value,direction
STU0001,withdrew,1,Lecture materials accessed (last 4w),-0.0706,-
STU0001,withdrew,2,Past interventions that improved engagement,0.0545,+
STU0001,withdrew,3,Recent attendance (4-week avg),-0.0532,-
STU0001,withdrew,4,VLE hours last week,-0.0338,-
STU0001,withdrew,5,Unexcused absences (12-week count),-0.027,-
STU0002,withdrew,1,Recent attendance (4-week avg),-0.0519,-
STU0002,withdrew,2,VLE logins last week,-0.0449,-
STU0002,withdrew,3,Lecture materials accessed (last 4w),-0.0381,-
STU0002,withdrew,4,Most recent assessment grade,-0.0318,-
STU0002,withdrew,5,Past interventions received,-0.0289,-
STU0003,withdrew,1,Lecture materials accessed (last 4w),-0.0733,-
STU0003,withdrew,2,Recent attendance (4-week avg),-0.0535,-
STU0003,withdrew,3,Past interventions that improved engagement,0.0469,+
STU0003,withdrew,4,Most recent assessment grade,-0.0284,-
STU0003,withdrew,5,Unexcused absences (12-week count),-0.0269,-
STU0004,withdrew,1,Lecture materials accessed (last 4w),0.0695,+
STU0004,withdrew,2,Recent attendance (4-week avg),0.0626,+
STU0004,withdrew,3,On-time submissions,0.0232,+
STU0004,withdrew,4,Weeks with no VLE activity,0.02,+
STU0004,withdrew,5,VLE login volatility,0.02,+
STU0005,withdrew,1,Lecture materials accessed (last 4w),0.0657,+
STU0005,withdrew,2,VLE logins last week,0.0348,+
STU0005,withdrew,3,VLE login trend,-0.032,-
STU0005,withdrew,4,Weeks with no VLE activity,0.0252,+
STU0005,withdrew,5,Past interventions received,-0.0249,-
STU0006,withdrew,1,Lecture materials accessed (last 4w),-0.0968,-
STU0006,withdrew,2,Recent attendance (4-week avg),-0.0671,-
STU0006,withdrew,3,Most recent assessment grade,0.0369,+
STU0006,withdrew,4,Past interventions received,-0.0331,-
STU0006,withdrew,5,Mean grade across modules,0.0233,+
STU0007,withdrew,1,Past interventions received,0.0672,+
STU0007,withdrew,2,Lecture materials accessed (last 4w),0.0641,+
STU0007,withdrew,3,Past interventions that improved engagement,0.0492,+
STU0007,withdrew,4,Weeks with no VLE activity,0.0304,+
STU0007,withdrew,5,Unexcused absences (12-week count),0.0295,+
STU0008,withdrew,1,Lecture materials accessed (last 4w),-0.0717,-
STU0008,withdrew,2,Recent attendance (4-week avg),-0.0573,-
STU0008,withdrew,3,Past interventions that improved engagement,0.0467,+
STU0008,withdrew,4,Unexcused absences (12-week count),-0.0305,-
STU0008,withdrew,5,Most recent assessment grade,-0.0278,-
STU0009,withdrew,1,Recent attendance (4-week avg),-0.0565,-
STU0009,withdrew,2,Lecture materials accessed (last 4w),-0.0499,-
STU0009,withdrew,3,Past interventions received,-0.0326,-
STU0009,withdrew,4,Most recent assessment grade,-0.029,-
STU0009,withdrew,5,VLE login volatility,0.0261,+
STU0010,withdrew,1,Recent attendance (4-week avg),0.0516,+
STU0010,withdrew,2,Lecture materials accessed (last 4w),0.0491,+
STU0010,withdrew,3,VLE logins last week,0.0308,+
STU0010,withdrew,4,Past interventions received,0.0302,+
STU0010,withdrew,5,VLE login trend,-0.0245,-
STU0011,withdrew,1,Lecture materials accessed (last 4w),-0.0726,-
STU0011,withdrew,2,Recent attendance (4-week avg),-0.0599,-
STU0011,withdrew,3,Past interventions received,-0.035,-
STU0011,withdrew,4,Most recent assessment grade,-0.0312,-
STU0011,withdrew,5,Unexcused absences (12-week count),-0.0252,-
STU0012,withdrew,1,Lecture materials accessed (last 4w),-0.066,-
STU0012,withdrew,2,Recent attendance (4-week avg),-0.0557,-
STU0012,withdrew,3,VLE logins last week,-0.0442,-
STU0012,withdrew,4,Past interventions received,-0.029,-
STU0012,withdrew,5,Most recent assessment grade,-0.0283,-
STU0013,withdrew,1,Lecture materials accessed (last 4w),0.0625,+
STU0013,withdrew,2,Recent attendance (4-week avg),0.0576,+
STU0013,withdrew,3,Most recent assessment grade,0.0377,+
STU0013,withdrew,4,VLE logins last week,0.0365,+
STU0013,withdrew,5,Past interventions received,0.0278,+
STU0014,withdrew,1,Past interventions received,0.0606,+
STU0014,withdrew,2,VLE logins last week,-0.048,-
