student_id,week,week_ending,attendance_pct,vle_logins,vle_hours,materials_accessed
STU0001,1,2025-01-04,91.79,14,9.15,0
STU0001,2,2025-01-11,89.84,9,6.44,5
STU0001,3,2025-01-18,91.48,4,0.36,3
STU0001,4,2025-01-25,80.52,9,5.13,2
STU0001,5,2025-02-01,84.69,8,3.13,2
STU0001,6,2025-02-08,85.7,6,2.2,6
STU0001,7,2025-02-15,73.6,10,8.24,1
STU0001,8,2025-02-22,81.39,5,1.7,3
STU0001,9,2025-03-01,68.68,7,3.06,2
STU0001,10,2025-03-08,80.36,7,5.58,2
STU0001,11,2025-03-15,89.84,8,4.16,6
STU0001,12,2025-03-22,79.04,6,5.91,2
STU0002,1,2025-01-04,66.48,2,0.74,0
STU0002,2,2025-01-11,79.66,2,1.54,1
STU0002,3,2025-01-18,71.76,6,5.29,2
STU0002,4,2025-01-25,62.95,5,0.54,1
STU0002,5,2025-02-01,61.36,2,0.68,0
STU0002,6,2025-02-08,68.23,3,1.61,0
STU0002,7,2025-02-15,70.41,1,1.26,1
STU0002,8,2025-02-22,74.39,3,5.74,1
STU0002,9,2025-03-01,69.41,4,3.07,0
STU0002,10,2025-03-08,79.59,10,6.25,1
STU0002,11,2025-03-15,74.54,3,1.71,1
STU0002,12,2025-03-22,82.51,10,7.1,1
STU0003,1,2025-01-04,75.78,10,3.7,4
STU0003,2,2025-01-11,87.4,13,7.08,3
STU0003,3,2025-01-18,89.19,11,5.74,3
STU0003,4,2025-01-25,91.49,7,2.54,1
STU0003,5,2025-02-01,75.08,8,5.2,3
STU0003,6,2025-02-08,82.95,8,2.45,3
STU0003,7,2025-02-15,88.28,10,7.41,1
STU0003,8,2025-02-22,81.6,7,2.29,2
STU0003,9,2025-03-01,82.63,15,6.31,1
STU0003,10,2025-03-08,92.91,4,0.0,0
STU0003,11,2025-03-15,69.34,4,0.14,4
STU0003,12,2025-03-22,82.81,3,0.0,5
STU0004,1,2025-01-04,46.75,0,0.0,0
STU0004,2,2025-01-11,55.43,0,0.0,0
STU0004,3,2025-01-18,53.24,1,0.0,0
STU0004,4,2025-01-25,48.76,1,0.0,0
STU0004,5,2025-02-01,51.74,1,0.0,0
STU0004,6,2025-02-08,53.91,0,0.0,1
STU0004,7,2025-02-15,53.34,0,0.0,1
STU0004,8,2025-02-22,56.6,0,0.0,0
STU0004,9,2025-03-01,65.9,1,1.65,0
STU0004,10,2025-03-08,42.55,0,0.0,0
STU0004,11,2025-03-15,58.7,1,0.0,0
STU0004,12,2025-03-22,50.62,1,0.0,0
STU0005,1,2025-01-04,46.04,0,2.26,1
STU0005,2,2025-01-11,46.74,0,0.0,0
STU0005,3,2025-01-18,58.63,0,0.98,1
STU0005,4,2025-01-25,53.84,0,0.0,0
STU0005,5,2025-02-01,69.2,0,2.34,0
STU0005,6,2025-02-08,61.78,0,0.25,0
STU0005,7,2025-02-15,47.59,1,0.12,1
STU0005,8,2025-02-22,62.0,0,0.0,0
STU0005,9,2025-03-01,58.55,1,1.09,1
STU0005,10,2025-03-08,68.06,4,1.79,0
STU0005,11,2025-03-15,78.02,4,0.0,0
STU0005,12,2025-03-22,49.98,0,0.0,0
STU0006,1,2025-01-04,64.22,1,0.0,1
STU0006,2,2025-01-11,73.35,0,0.0,1
STU0006,3,2025-01-18,67.88,1,1.69,0
STU0006,4,2025-01-25,50.3,2,0.0,0
STU0006,5,2025-02-01,83.94,5,5.87,2
STU0006,6,2025-02-08,76.43,4,2.88,1
STU0006,7,2025-02-15,61.19,5,3.28,1
STU0006,8,2025-02-22,62.88,0,0.0,2
STU0006,9,2025-03-01,73.38,3,0.05,1
STU0006,10,2025-03-08,69.29,4,0.88,1
STU0006,11,2025-03-15,84.12,4,1.59,2
STU0006,12,2025-03-22,72.58,4,0.77,3
STU0007,1,2025-01-04,77.51,0,0.0,0
STU0007,2,2025-01-11,52.02,0,0.0,0
STU0007,3,2025-01-18,59.98,0,0.0,1
STU0007,4,2025-01-25,56.09,0,0.0,0
STU0007,5,2025-02-01,55.33,0,0.0,0
